SourcedFrom,FileTimeUtc,Botnet,SourceIp,SourcePort,SourceIpAsnNr,TargetIp,TargetPort,Payload,SourceIpCountryCode,SourceIpRegion,SourceIpCity,SourceIpPostalCode,SourceIpLatitude,SourceIpLongitude,SourceIpMetroCode,SourceIpAreaCode,HttpRequest,HttpReferrer,HttpUserAgent,HttpMethod,HttpVersion,HttpHost,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Threat Confidence
SinkHoleMessage,1.31E+17,B106-CB,183.171.161.197,6600,AS10030,204.95.99.31,1921,,MY,12,Ampang,,3.15,101.7667,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,118.101.152.243,52663,AS4788,204.95.99.86,1644,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,175.140.89.19,57600,AS4788,204.95.99.86,84,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,60.54.92.59,27827,AS4788,204.95.99.109,88,,MY,16,Kota Kinabalu,,5.9749,116.0724,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,113.210.139.16,26647,AS9534,204.95.99.31,288,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,14.1.198.1,58385,AS45960,204.95.99.31,1921,,MY,6,Kuantan,,3.8077,103.326,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,124.13.68.164,33670,AS4788,204.95.99.31,1920,,MY,13,Kuala Terengganu,,5.3302,103.1408,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,175.140.89.5,33031,AS4788,204.95.99.31,1920,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,1.9.98.57,10336,AS4788,204.95.99.109,102,,MY,6,Kuantan,,3.8077,103.326,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,60.48.33.109,50576,AS4788,204.95.99.109,2211,,MY,12,Puchong,,3.0167,101.6167,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,60.54.77.223,53215,AS4788,204.95.99.86,83,,MY,6,Kuantan,,3.8077,103.326,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,118.100.152.99,49649,AS4788,204.95.99.31,333,,MY,4,Melaka,,2.196,102.2405,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,60.53.95.79,62420,AS4788,204.95.99.109,258,,MY,12,Batu Caves,,3.2333,101.6667,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Bladabindi,115.135.242.250,57263,AS4788,204.95.99.26,333,,MY,3,Kota Bharu,,6.1333,102.2386,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,180.73.2.31,53406,AS38322,204.95.99.109,333,,MY,1,Johor Bahru,,1.4655,103.7578,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,113.210.9.222,17037,AS9534,204.95.99.109,7777,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,1.9.96.161,1648,AS4788,204.95.99.109,88,,MY,13,Kuala Terengganu,,5.3302,103.1408,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Bladabindi,183.171.175.132,38180,AS10030,204.95.99.26,1177,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,"lv|'|'|SGFjS2VkX0QyMjdBNUMw|'|'|KB|'|'|user|'|'|2014-04-23|'|'|USA|'|'|Win 7 Ultimate SP0 x64|'|'|Yes|'|'|0.5.0E|'|'|..|'|'|RE9UQSAy|'|'|5702673368512820f82155c9e1d5e18a,[endof]",,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,124.13.163.199,25743,AS4788,204.95.99.109,81,,MY,7,Ipoh,,4.5841,101.0829,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Malagent,210.187.210.228,59256,AS4788,204.95.99.100,4040,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,Low
SinkHoleMessage,1.31E+17,B106-Jenxcus,113.210.136.42,27196,AS9534,204.95.99.86,991,,MY,12,Petaling Jaya,,3.0833,101.65,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,118.100.232.48,51072,AS4788,204.95.99.109,1122,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,202.185.77.115,27480,AS132688,204.95.99.109,88,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,lv0njxq80Dark HeRoo_789C891C0njxq80GBR0njxq80WIN_7 X86 SP10njxq800.3.3a0njxq80Y0njxq80Battery Meter,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,203.106.156.100,3607,AS4788,204.95.99.31,288,,MY,1,Kulai,,1.6561,103.6032,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,203.106.151.123,2796,AS4788,204.95.99.86,1604,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,115.132.58.128,10475,AS4788,204.95.99.109,88,,MY,7,Ipoh,,4.5841,101.0829,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,210.187.214.193,56643,AS4788,204.95.99.109,1998,,MY,12,Puchong,,3.0167,101.6167,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Bladabindi,1.9.106.239,4542,AS4788,204.95.99.26,82,,MY,11,Kuching,,1.55,110.3333,0,0,33|,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,210.187.208.162,63005,AS4788,204.95.99.86,9091,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,115.135.255.100,17546,AS4788,204.95.99.86,9090,,MY,1,Johor Bahru,,1.4655,103.7578,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Rimod,175.140.231.65,50279,AS4788,204.95.99.144,80,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,GET / HTTP/1.1,,,,,,,,,,,Low
SinkHoleMessage,1.31E+17,B106-MULTI,175.139.21.216,53398,AS4788,204.95.99.109,1998,,MY,12,Puchong,,3.0167,101.6167,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
